"","Age","Metal.Band","Flag.Colour","Flag.Code"
"1","Fledgling","T2151","Orange","10"
"2","Fledgling","T2154","Orange","11"
"3","Fledgling","T2153","Orange","12"
"4","Fledgling","T2159","Orange","13"
"5","Fledgling","T2167","Orange","14"
"6","Fledgling","T2160","Orange","15"
"7","Fledgling","T2158","Orange","16"
"8","Fledgling","T2164","Orange","17"
"9","Fledgling","T2155","Orange","18"
"13","Fledgling","T2172","Orange","19"
"14","Fledgling","T2144","Orange","20"
"15","Fledgling","T2145","Orange","21"
"17","Fledgling","T2146","Orange","22"
"18","Fledgling","T2175","Orange","23"
"19","Fledgling","T2168","Orange","24"
"20","Fledgling","T2173","Orange","25"
"21","Fledgling","T2174","Orange","26"
"22","Fledgling","T2171","Orange","27"
"24","Fledgling","T2169","Orange","28"
"25","Fledgling","T2161","Orange","29"
"27","Fledgling","T2163","Orange","30"
"28","Fledgling","T2162","Orange","31"
"29","Fledgling","T2176","Orange","32"
"30","Fledgling","T2177","Orange","33"
"32","Fledgling","T2165","Orange","34"
"33","Fledgling","T2166","Orange","35"
"35","Fledgling","T2178","Orange","36"
"39","Fledgling","T2179","Orange","37"
"41","Fledgling","T2180","Orange","38"
"42","Fledgling","T2181","Orange","39"
"43","Fledgling","T2182","Orange","40"
"44","Fledgling","T2016","Orange","41"
"46","Fledgling","T2028","Orange","42"
"51","Fledgling","T2036","Orange","43"
"52","Fledgling","T2033","Orange","44"
"54","Fledgling","T2029","Orange","45"
"55","Fledgling","T2030","Orange","46"
"56","Fledgling","T2031","Orange","47"
"58","Fledgling","T2024","Orange","48"
"59","Fledgling","T2025","Orange","49"
"60","Fledgling","T2085","Orange","50"
"63","Fledgling","T2065","Orange","51"
"65","Fledgling","T2066","Orange","52"
"66","Fledgling","T2067","Orange","53"
"68","Fledgling","T2068","Orange","54"
"71","Fledgling","T2069","Orange","55"
"73","Fledgling","T2070","Orange","56"
"74","Fledgling","T2071","Orange","57"
"75","Fledgling","T2072","Orange","58"
"78","Fledgling","T2073","Orange","59"
"82","Fledgling","T2074","Orange","60"
"84","Fledgling","T2077","Orange","61"
"85","Fledgling","T2078","Orange","62"
"86","Fledgling","T2079","Orange","63"
"88","Fledgling","T2080","Orange","64"
"89","Fledgling","T2103","Orange","65"
"90","Fledgling","T2075","Orange","67"
"91","Fledgling","T2101","Orange","68"
"92","Fledgling","NotBanded","Orange","70"
"93","Fledgling","T2037","Orange","71"
"94","Fledgling","T2038","Orange","72"
"96","Fledgling","T2039","Orange","73"
"97","Fledgling","T2040","Orange","74"
"99","Fledgling","T2201","Orange","75"
"100","Fledgling","T2205","Orange","76"
"101","Fledgling","T2207","Orange","77"
"102","Fledgling","T2203","Orange","78"
"105","Fledgling","T2204","Orange","79"
"107","Fledgling","T2208","Orange","80"
"108","Fledgling","T2209","Orange","81"
"109","Fledgling","T2210","Orange","82"
"112","Fledgling","T2211","Orange","83"
"113","Fledgling","T2213","Orange","84"
"114","Fledgling","T2215","Orange","85"
"117","Fledgling","T2216","Orange","86"
"118","Fledgling","T2217","Orange","87"
"119","Fledgling","T2218","Orange","88"
